City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,karratha,-20.7377,116.8463,296.56,71,0,5.44,AU,1701463621
84,bagan,54.1001,77.6646,268.47,95,97,4.58,RU,1701463689
85,santa cruz,-17.8,-63.1667,308.18,43,20,10.29,BO,1701463689
86,kuanda,56.3161,116.0806,253.26,99,98,0.47,RU,1701463690
87,enewetak,11.3474,162.3373,300.56,79,89,9.09,MH,1701463653
88,kailua-kona,19.6406,-155.9956,302.32,74,40,2.57,US,1701463690
89,dohar,23.5883,90.1469,297.14,71,41,2.54,BD,1701463691
90,dwarka,22.2394,68.9678,297.7,53,0,8.3,IN,1701463691
91,contamana,-7.3333,-75.0167,296.13,99,100,1.31,PE,1701463691
92,puerto natales,-51.7236,-72.4875,280.92,58,72,6.29,CL,1701463652
93,kodiak,57.79,-152.4072,275.88,87,100,4.63,US,1701463692
94,sabang,5.8933,95.3214,299.88,82,100,7.44,ID,1701463692
95,candido mendes,-1.4467,-45.7167,300.27,73,53,2.41,BR,1701463693
96,nizhniy kuranakh,58.8353,125.4869,252.83,95,100,4.11,RU,1701463693
97,stephenville,32.2207,-98.2023,290.46,36,0,2.57,US,1701463546
98,yeppoon,-23.1333,150.7333,300.03,80,85,3.93,AU,1701463637
99,kapuskasing,49.4169,-82.4331,266.2,68,20,5.14,CA,1701463677
100,huesca,42.1362,-0.4087,279.53,83,0,5.66,ES,1701463694
101,kissidougou,9.1848,-10.0999,297.92,59,77,0.4,GN,1701463694
102,west island,-12.1568,96.8225,298.14,78,75,2.57,CC,1701463695
103,esfarayen,37.0765,57.5101,275.96,50,100,0.91,IR,1701463695
104,vorgashor,67.5833,63.95,260.88,91,100,1.65,RU,1701463695
105,magadan,59.5667,150.8,264.85,79,100,4.77,RU,1701463695
106,guer,47.9062,-2.1231,275.76,90,36,2.3,FR,1701463696
107,fortuna,40.5982,-124.1573,285.36,96,100,6.69,US,1701463696
108,mali,12.079,-12.2982,293.28,30,65,0.7,GN,1701463697
109,east london,-33.0153,27.9116,293.93,71,70,9.28,ZA,1701463697
110,utrik,11.2278,169.8474,300.27,79,75,8.99,MH,1701463697
111,arkhangel'sk,64.5401,40.5433,264.21,92,100,3.0,RU,1701463698
112,alaghsas,17.0187,8.0168,296.15,11,3,4.48,NE,1701463698
113,newman,37.3138,-121.0208,289.39,32,21,2.68,US,1701463698
114,faya-largeau,17.9257,19.1043,298.44,14,2,7.68,TD,1701463699
115,barra de santo antonio,-9.4047,-35.5072,301.75,77,69,4.43,BR,1701463699
116,kralendijk,12.15,-68.2667,303.14,70,40,9.26,BQ,1701463544
117,dellys,36.9172,3.9131,291.59,60,81,9.52,DZ,1701463700
118,vuktyl,63.8567,57.3094,264.32,94,100,1.34,RU,1701463700
119,neya,58.2972,43.8681,262.25,98,91,1.67,RU,1701463700
120,zabaykal'sk,49.6333,117.3167,253.42,95,12,3.04,RU,1701463701
121,qaqortoq,60.7167,-46.0333,271.83,93,100,1.68,GL,1701463701
122,murmashi,68.8154,32.8115,251.71,83,20,1.0,RU,1701463701
123,yelizovo,53.1873,158.3805,265.82,66,0,6.0,RU,1701463701
124,san pablo huixtepec,16.8333,-96.7667,301.44,23,40,3.6,MX,1701463702
125,porto novo,6.4965,2.6036,302.05,85,94,3.57,BJ,1701463679
126,barcelos,41.5388,-8.6151,283.62,90,3,1.88,PT,1701463702
127,polyarnyy,69.1989,33.4478,258.92,98,94,1.8,RU,1701463703
128,albany,42.6001,-73.9662,280.31,83,100,1.68,US,1701463668
129,la passe,45.5549,-0.8967,278.28,86,97,5.45,FR,1701463703
130,las veredas,23.1388,-109.7075,300.45,55,20,6.17,MX,1701463704
131,tura,25.5198,90.2201,290.91,73,65,1.51,IN,1701463704
132,calama,-22.4667,-68.9333,298.42,11,0,10.8,CL,1701463657
133,machico,32.7,-16.7667,291.32,69,20,3.6,PT,1701463705
134,zhangye,38.9342,100.4517,270.15,33,24,0.82,CN,1701463705
135,fort st. john,56.2499,-120.8529,265.09,79,75,3.09,CA,1701463486
136,ribeira grande,38.5167,-28.7,291.37,72,75,6.69,PT,1701463706
137,georgetown,5.4112,100.3354,299.83,92,40,2.57,MY,1701463375
138,timra,62.487,17.3257,260.97,85,40,6.69,SE,1701463706
139,yuxia,34.0615,108.6291,268.49,37,42,0.89,CN,1701463706
140,lagos,6.5833,3.75,297.33,88,82,2.46,NG,1701463200
141,marsabit,2.3284,37.9899,294.35,57,32,3.63,KE,1701463707
142,san patricio,28.017,-97.5169,294.12,87,100,5.13,US,1701463707
143,touros,-5.1989,-35.4608,299.46,76,32,5.49,BR,1701463698
144,tazovsky,67.4667,78.7,253.01,96,95,2.5,RU,1701463708
145,ivanteyevka,55.9711,37.9208,268.82,98,100,1.51,RU,1701463708
146,anadyr,64.75,177.4833,260.43,92,100,2.0,RU,1701463708
147,wuchang,44.9143,127.15,259.57,89,62,2.11,CN,1701463709
148,newnham,-41.3833,147.1333,287.77,82,40,3.09,AU,1701463709
149,kapa'a,22.0752,-159.319,296.59,88,100,3.6,US,1701463709
150,petropavlovsk-kamchatsky,53.0452,158.6483,265.07,81,0,7.6,RU,1701463710
151,el porvenir,13.7617,-87.3458,300.78,50,74,1.82,HN,1701463710
152,yellowknife,62.456,-114.3525,254.57,89,100,3.09,CA,1701463710
153,fort bragg,35.139,-79.006,291.99,75,40,2.57,US,1701463663
154,egersund,58.4513,5.9997,268.2,81,35,2.71,NO,1701463711
155,raduzhny,62.0961,77.475,251.5,100,88,0.84,RU,1701463711
156,cestos city,5.46,-9.5828,300.24,85,98,4.89,LR,1701463711
157,beira,-19.8436,34.8389,299.2,61,20,5.36,MZ,1701463712
158,urengoy,65.9667,78.3667,251.48,81,100,3.81,RU,1701463712
159,tangalle,6.024,80.7911,297.66,92,100,4.29,LK,1701463712
160,crane,31.3974,-102.3501,291.53,29,59,5.7,US,1701463713
161,morinville,53.8001,-113.652,268.66,75,100,2.57,CA,1701463713
162,ulety,51.3572,112.4849,258.74,89,27,2.17,RU,1701463713
163,sola,-13.8833,167.55,299.84,85,100,10.55,VU,1701463714
164,nadi,-17.8,177.4167,303.15,62,20,2.06,FJ,1701463714
165,karlskrona,56.1616,15.5866,267.4,93,78,2.57,SE,1701463714
166,gorom-gorom,14.4439,-0.2361,303.15,18,5,3.47,BF,1701463715
167,atafu village,-8.5421,-172.5159,302.38,75,100,6.03,TK,1701463648
168,katabu,-4.9333,122.5167,297.71,94,89,1.12,ID,1701463715
169,trinidad,-14.8333,-64.9,307.14,52,40,7.2,BO,1701463715
170,myrina,39.8797,25.0742,291.73,77,0,5.66,GR,1701463716
171,keflavik,64.0049,-22.5624,273.39,69,0,5.14,IS,1701463716
172,gamboma,-1.8764,15.8644,296.37,90,100,0.83,CG,1701463716
